techMdExtractorName,extractorProperty,classificationProperty
MediaInfoMDExtractorPlugin,mediainfo.track.Video.CodecID,video.codec_ID
MediaInfoMDExtractorPlugin,mediainfo.track.Video.extra.coder_type,video.extra.coder_type
MediaInfoMDExtractorPlugin,mediainfo.track.Video.ColorSpace,video.color_space
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Compression_Mode,video.compression_mode
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Default,video.default
MediaInfoMDExtractorPlugin,mediainfo.track.Video.DisplayAspectRatio,video.display_aspect_ratio
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Duration,video.duration
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Encoded_Library,video.encoded_library
MediaInfoMDExtractorPlugin,mediainfo.track.Video.extra.MaxSlicesCount,video.extra.max_slices_count
MediaInfoMDExtractorPlugin,mediainfo.track.Video.extra.ErrorDetectionType,video.extra.error_detection_type
MediaInfoMDExtractorPlugin,mediainfo.track.Video.extra.OriginalSourceMedium,video.extra.original_source_medium
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Forced,video.forced
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Format,video.format
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Format_Profile,video.format_profile
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Format_Settings_GOP,video.format_settings_GOP
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Format_Settings_Wrapping,video.format_Settings_Wrapping
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Format_Version,video.format_version
MediaInfoMDExtractorPlugin,mediainfo.track.Video.FrameCount,video.frame_count
MediaInfoMDExtractorPlugin,mediainfo.track.Video.FrameRate,video.frame_rate
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Height,video.height
MediaInfoMDExtractorPlugin,mediainfo.track.Video.ID,video.ID
MediaInfoMDExtractorPlugin,mediainfo.track.Video.PixelAspectRatio,video.pixel_aspect_ratio
MediaInfoMDExtractorPlugin,mediainfo.track.Video.PixelAspectRatioOriginal,video.pixel_aspect_ratio_original
MediaInfoMDExtractorPlugin,mediainfo.track.Video.ScanOrder,video.scan_order
MediaInfoMDExtractorPlugin,mediainfo.track.Video.ScanType,video.scan_type
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Standard,video.standard
MediaInfoMDExtractorPlugin,mediainfo.track.Video.StreamSize,video.stream_size
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Title,video.title
MediaInfoMDExtractorPlugin,mediainfo.track.Video.TimeCode_FirstFrame,video.time_code_of_first_frame
MediaInfoMDExtractorPlugin,mediainfo.track.Video.TimeCode_Source,video.time_code_source
MediaInfoMDExtractorPlugin,mediainfo.track.Video.transfer_characteristics,video.transfer_characteristics
MediaInfoMDExtractorPlugin,mediainfo.track.Video.Width,video.width
